OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,1,4322,3889800,0,93,93,5.112447941,12.07834741,22096,36,0,68,0
2,2,4322,3889800,0,77,77,3.744794077,10.50472567,16185,45,0,8,0
3,3,4322,3889800,0,93,93,5.112447941,12.07834741,22096,36,0,68,0
4,4,4322,3889800,0,77,77,3.744794077,10.50472567,16185,45,0,8,0
5,5,4297,3867300,0,95,95,34.01861764,31.57270317,146178,72,0,21,32
6,6,4358,3922200,0,85,85,8.267094998,18.57769059,36028,72,0,45,0
7,7,4358,3922200,0,85,85,8.267094998,18.57769059,36028,72,0,45,0
8,8,4241,3816900,0,92,92,15.64442349,18.99755994,66348,87,0,5,13
9,9,3396,3056400,0,96,96,46.00441696,35.33217324,156231,92,0,6,41
10,10,1975,1777500,0,96,96,38.22329114,27.76690069,75491,91,0,9,36
11,11,4313,3881700,0,85,85,8.186876884,20.35766087,35310,54,0,22,0
12,12,4321,3888900,0,77,77,3.362416107,10.25437242,14529,48,0,10,0
13,13,4311,3879900,0,92,92,8.797030851,23.92540116,37924,60,0,44,0
14,14,4360,3924000,0,85,85,5.747477064,15.49239953,25059,71,0,8,0
15,15,4296,3866400,0,93,93,14.9283054,24.21853061,64132,71,0,19,0
16,16,4289,3860100,0,94,94,1.599906738,9.375777763,6862,47,0,8,0
17,17,4324,3891600,0,83,83,4.590194265,11.7101305,19848,66,0,38,0
18,18,4323,3890700,0,92,92,5.467268101,18.71318341,23635,52,0,24,0
19,19,4317,3885300,0,84,84,4.354876071,14.36236693,18800,49,0,40,0
20,20,4341,3906900,0,94,94,38.00944483,31.63876465,164999,83,0,15,38
21,21,4284,3855600,0,92,92,2.526610644,12.26993668,10824,52,0,53,0
22,22,4318,3886200,0,83,83,4.497452524,11.09733633,19420,55,0,10,0
23,23,4322,3889800,0,87,87,1.768857011,9.418420128,7645,51,0,12,0
24,24,4320,3888000,0,85,85,8.244444444,19.86851377,35616,55,0,43,0
25,25,4289,3860100,0,93,93,0.606435066,6.252510102,2601,27,0,26,0
26,26,4295,3865500,0,96,96,3.012572759,13.21963933,12939,65,0,6,0
27,27,4315,3883500,0,88,88,8.228505214,20.02942617,35506,69,0,88,0
28,28,4310,3879000,0,91,91,1.62900232,9.449558046,7021,45,0,24,0
29,29,4321,3888900,0,77,77,3.362416107,10.25437242,14529,48,0,10,0
30,30,4322,3889800,0,83,83,5.350532161,11.73551608,23125,57,0,39,0
31,31,4342,3907800,0,97,97,51.92376785,31.99622044,225453,79,0,20,63
32,32,3396,3056400,0,96,96,46.00441696,35.33217324,156231,92,0,6,41
33,33,4432,3988800,0,94,94,18.28497292,21.59802124,81039,84,0,7,14
34,34,4711,4239900,0,100,100,58.04139249,38.11263438,273433,88,0,14,71
35,35,4389,3950100,0,96,96,8.573023468,20.18248851,37627,79,0,7,0
36,36,4638,4174200,0,100,100,61.26843467,31.85271191,284163,91,0,32,72
37,37,4320,3888000,0,83,83,4.602314815,11.37771922,19882,61,0,38,0
38,38,4476,4028400,0,91,91,11.79289544,18.03206244,52785,83,0,60,0
39,39,4752,4276800,0,99,99,26.62773569,36.08431153,126535,85,0,15,0
