OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,1,3486,3137400,0,0,0,0,0,0,1,0,0,0
2,2,3491,3141900,0,100,100,21.65826411,32.420987,75609,101,0,95,0
3,3,3486,3137400,0,0,0,0,0,0,1,0,0,0
4,4,3491,3141900,0,100,100,21.65826411,32.420987,75609,101,0,95,0
5,5,3493,3143700,0,77,77,1.121099342,5.509634873,3916,49,0,29,0
6,6,3491,3141900,0,100,100,25.45459754,26.44745066,88862,101,0,96,17
7,7,3491,3141900,0,100,100,25.45459754,26.44745066,88862,101,0,96,17
8,8,3429,3086100,0,100,100,17.92271799,17.89878318,61457,92,0,78,13
9,9,2745,2470500,0,100,100,12.04954463,17.19530226,33076,83,0,61,0
10,10,1596,1436400,0,100,100,9.169799499,13.76929005,14635,70,0,55,2
11,11,3493,3143700,0,0,0,0,0,0,1,0,0,0
12,12,3488,3139200,0,100,100,23.99455275,33.38990234,83693,101,0,6,0
13,13,3492,3142800,0,0,0,0,0,0,1,0,0,0
14,14,3495,3145500,0,100,100,32.13190272,28.91552589,112301,101,0,98,27
15,15,3485,3136500,0,71,71,0.321090387,3.755195344,1119,26,0,7,0
16,16,3490,3141000,0,80,80,0.135530086,2.360060115,473,10,0,23,0
17,17,3491,3141900,0,100,100,2.824119164,12.47510278,9859,81,0,2,0
18,18,3487,3138300,0,0,0,0,0,0,1,0,0,0
19,19,3486,3137400,0,0,0,0,0,0,1,0,0,0
20,20,3486,3137400,0,63,63,1.0232358,6.074955357,3567,42,0,3,0
21,21,3490,3141000,0,64,64,1.113467049,6.048681853,3886,50,0,1,0
22,22,3492,3142800,0,100,100,1.764032073,9.82952577,6160,65,0,3,0
23,23,3493,3143700,0,100,100,8.85141712,22.36967784,30918,97,0,7,0
24,24,3487,3138300,0,0,0,0,0,0,1,0,0,0
25,25,3493,3143700,0,0,0,0,0,0,1,0,0,0
26,26,3486,3137400,0,0,0,0,0,0,1,0,0,0
27,27,3490,3141000,0,67,67,0.448997135,3.285438111,1567,31,0,14,0
28,28,3488,3139200,0,25,25,0.163704128,1.414570815,571,19,0,5,0
29,29,3488,3139200,0,100,100,23.99455275,33.38990234,83693,101,0,6,0
30,30,3489,3140100,0,100,100,2.069360848,10.37614742,7220,63,0,8,0
31,31,3496,3146400,0,50,50,0.177631579,1.709501211,621,23,0,9,0
32,32,2745,2470500,0,100,100,12.04954463,17.19530226,33076,83,0,61,0
33,33,3495,3145500,0,84,84,6.756509299,13.4755837,23614,73,0,51,0
34,34,3492,3142800,0,85,85,1.475658648,7.343848502,5153,69,0,25,0
35,35,3495,3145500,0,89,89,3.151359084,9.664810601,11014,65,0,35,0
36,36,3490,3141000,0,100,100,8.179083095,16.82557639,28545,93,0,67,0
37,37,3487,3138300,0,100,100,2.472039002,11.69344873,8620,76,0,2,0
38,38,3493,3143700,0,73,73,0.648726023,4.31821775,2266,42,0,20,0
39,39,3480,3132000,0,68,68,1.168965517,5.419596421,4068,47,0,29,0
40,40,3488,3139200,0,100,100,1.544151376,9.229663994,5386,60,0,8,0
41,41,3493,3143700,1,100,99,27.93844833,21.96282786,97589,100,1,88,22
42,42,3486,3137400,0,100,100,24.49340218,33.52025337,85384,101,0,6,0
43,43,3489,3140100,0,22,22,0.245342505,1.253711808,856,18,0,6,0
44,44,3489,3140100,0,100,100,25.28976784,26.37251084,88236,101,0,100,17
45,45,3494,3144600,0,42,42,0.595878649,4.046572771,2082,33,0,4,0
46,46,3485,3136500,0,100,100,27.717934,21.5162261,96597,101,22,0,22
47,47,3487,3138300,0,100,100,9.868655004,21.18353466,34412,97,0,90,0
48,48,3493,3143700,1,100,99,27.93844833,21.96282786,97589,100,1,88,22
49,49,3486,3137400,0,100,100,24.49340218,33.52025337,85384,101,0,6,0
50,50,3491,3141900,0,60,60,0.399598969,2.878796707,1395,31,0,14,0
51,51,3493,3143700,0,100,100,8.827082737,17.9518837,30833,98,0,51,0
52,52,3485,3136500,0,31,31,0.19713056,1.607690565,687,24,0,14,0
53,53,3491,3141900,0,100,100,15.10226296,17.81732388,52722,92,0,84,9
54,54,3492,3142800,0,100,100,3.301260023,12.24009376,11528,86,0,52,0
55,55,3492,3142800,0,57,57,0.61626575,3.615616033,2152,37,0,22,0
56,56,3491,3141900,0,100,100,17.8372959,23.39781861,62270,100,0,87,8
57,57,3493,3143700,0,29,29,0.272258803,1.928145378,951,23,0,13,0
58,58,3491,3141900,0,100,100,2.824119164,12.47510278,9859,81,0,2,0
59,59,3493,3143700,0,29,29,0.272258803,1.928145378,951,23,0,13,0
60,60,3483,3134700,0,99,99,39.72782084,22.42445431,138372,100,0,89,42
61,61,3490,3141000,0,77,77,1.26991404,7.414763809,4432,53,0,15,0
62,62,3493,3143700,0,100,100,38.00772975,32.91224393,132761,101,0,4,38
