"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"1",1839291159,"Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus","Florida",30.03192,-84.62356,20,7,2013
"2",1324188914,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis equestris","Florida",26.24002,-81.72798,1,5,2014
"3",1324189091,"Reptilia","Squamata","Teiidae","Salvator","Salvator merianae","Florida",27.82511,-82.26499,28,4,2014
"4",1324189003,"Reptilia","Squamata","Pythonidae","Morelia","Morelia spilota","Florida",29.00776,-82.16228,4,8,2014
"5",1324191149,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis alleghaniensis","Florida",29.588549,-82.349111,14,11,2015
"6",1324148131,"Reptilia","Squamata","Colubridae","Masticophis","Masticophis flagellum","Florida",26.8075,-82.27858,19,3,2012
"7",1324189264,"Reptilia","Squamata","Colubridae","Tantilla","Tantilla relicta","Florida",30.00667,-81.94701,14,10,2014
"8",1324189113,"Reptilia","Squamata","Leiocephalidae","Leiocephalus","Leiocephalus carinatus","Florida",26.13153,-80.13475,22,6,2014
"9",3332110301,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis alleghaniensis","Florida",25.761307,-80.890026,16,7,2013
"10",1836013811,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes squirellus","Florida",28.62518,-80.9643,11,5,2012
"11",1324151331,"Reptilia","Squamata","Iguanidae","Iguana","Iguana iguana","Florida",24.76503,-80.94878,16,5,2013
"12",1324146940,"Reptilia","Squamata","Varanidae","Varanus","Varanus niloticus","Florida",26.67854,-80.15301,11,5,2011
"13",1324147098,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis equestris","Florida",26.46243,-80.12545,20,8,2011
"14",1324147066,"Amphibia","Anura","Bufonidae","Rhinella","Rhinella marina","Florida",26.68203,-81.80622,31,8,2010
"15",1839291201,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia fasciata","Florida",26.84281,-80.31901,9,5,2013
"16",1324188778,"Reptilia","Squamata","Agamidae","Leiolepis","Leiolepis rubritaeniata","Florida",26.96545,-82.06698,12,7,2014
"17",1835184352,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus","Florida",29.7482,-84.85469,16,7,2011
"18",1324190095,"Reptilia","Crocodylia","Alligatoridae","Alligator","Alligator mississippiensis","Florida",25.76085,-80.62547,6,5,2015
"19",1324192308,"Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia","Florida",28.05624,-81.73462,30,6,2016
"20",1835184353,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus","Florida",29.64161,-85.13737,17,1,2011
"21",1324153752,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",29.694537,-82.354558,24,3,2014
"22",1324152947,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.30393,-80.48847,26,11,2013
"23",1835184441,"Amphibia","Anura","Hylidae","Pseudacris","Pseudacris feriarum","Florida",30.19702,-85.07587,12,3,2010
"24",1324192102,"Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus quercicus","Florida",26.727992,-80.252662,9,7,2011
"25",1324147071,"Reptilia","Squamata","Iguanidae","Iguana","Iguana iguana","Florida",26.08173,-80.1125,20,5,2010
