OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,4,0.000324,174.2084656,174.2084656,0,174.2084656,0,696.8338623
2,2,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
3,3,4,0.000324,174.2084656,174.2084656,0,174.2084656,0,696.8338623
4,4,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
5,5,3,0.000243,185.7308655,187.4720306,1.741165161,186.3112539,0.820793128,558.9337616
6,6,4,0.000324,77.38237762,77.38237762,0,77.38237762,0,309.5295105
7,7,4,0.000324,77.38237762,77.38237762,0,77.38237762,0,309.5295105
8,8,4,0.000324,199.5014038,203.3036652,3.802261353,200.4519691,1.646427462,801.8078766
9,9,3,0.000243,200.0773315,200.0773315,0,200.0773315,0,600.2319946
10,10,1,0.000081,207.2379303,207.2379303,0,207.2379303,0,207.2379303
11,11,2,0.000162,134.5278015,142.3622894,7.834487915,138.4450455,3.917243958,276.8900909
12,12,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
13,13,4,0.000324,135.782959,143.5634918,7.780532837,139.6732254,3.890266418,558.6929016
14,14,4,0.000324,77.38237762,77.38237762,0,77.38237762,0,309.5295105
15,15,4,0.000324,147.3507385,153.6211853,6.270446777,150.7787819,2.857310409,603.1151276
16,16,4,0.000324,182.2685089,182.2685089,0,182.2685089,0,729.0740356
17,17,3,0.000243,171.7966614,171.7966614,0,171.7966614,0,515.3899841
18,18,4,0.000324,134.5278015,143.5634918,9.035690308,139.0591354,3.951783521,556.2365417
19,19,3,0.000243,134.5278015,142.3622894,7.834487915,137.1392975,3.693213021,411.4178925
20,20,4,0.000324,86.00275421,86.00275421,0,86.00275421,0,344.0110168
21,21,3,0.000243,176.8592834,182.2685089,5.409225464,178.6623586,2.549933338,535.9870758
22,22,4,0.000324,171.7966614,174.2084656,2.411804199,173.0025635,1.2059021,692.0102539
23,23,3,0.000243,179.211441,179.211441,0,179.211441,0,537.6343231
24,24,4,0.000324,134.5278015,142.3622894,7.834487915,138.4450455,3.917243958,553.7801819
25,25,3,0.000243,171.5210114,171.5210114,0,171.5210114,0,514.5630341
26,26,4,0.000324,186.5053253,186.5053253,0,186.5053253,0,746.0213013
27,27,3,0.000243,161.7711792,161.7711792,0,161.7711792,0,485.3135376
28,28,3,0.000243,152.6519928,160.6997986,8.047805786,158.0171967,3.79377203,474.05159
29,29,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
30,30,3,0.000243,171.7966614,171.7966614,0,171.7966614,0,515.3899841
31,31,3,0.000243,86.92015839,86.92015839,0,86.92015839,0,260.7604752
32,32,3,0.000243,200.0773315,200.0773315,0,200.0773315,0,600.2319946
33,33,3,0.000243,83.5231781,83.5231781,0,83.5231781,0,250.5695343
34,34,4,0.000324,47.8904686,47.8904686,0,47.8904686,0,191.5618744
35,35,4,0.000324,78.79222107,79.74643707,0.954216003,79.26932907,0.477108002,317.0773163
36,36,4,0.000324,97.93352509,102.0614929,4.127967834,99.7586174,1.711335044,399.0344696
37,37,2,0.000162,171.7966614,171.7966614,0,171.7966614,0,343.5933228
38,38,3,0.000243,87.36592865,88.3686142,1.002685547,88.03438568,0.4726705,264.103157
39,39,4,0.000324,2.325824976,2.437698126,0.11187315,2.409729838,0.048442495,9.638919353
40,40,4,0.000324,171.7966614,174.2084656,2.411804199,173.0025635,1.2059021,692.0102539
41,41,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
42,42,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
43,43,3,0.000243,125.6470184,126.2827606,0.635742188,126.0708466,0.299691741,378.2125397
44,44,4,0.000324,87.09425354,88.79208374,1.6978302,88.36762619,0.735182042,353.4705048
45,45,3,0.000243,71.7122879,71.7122879,0,71.7122879,0,215.1368637
46,46,4,0.000324,177.2567596,177.2567596,0,177.2567596,0,709.0270386
47,47,3,0.000243,215.9149628,215.9149628,0,215.9149628,0,647.7448883
48,48,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
49,49,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
50,50,4,0.000324,84.40654755,84.40654755,0,84.40654755,0,337.6261902
51,51,3,0.000243,166.667572,173.3303223,6.662750244,168.8884888,3.140850586,506.6654663
52,52,3,0.000243,94.7250824,94.7250824,0,94.7250824,0,284.1752472
53,53,4,0.000324,204.1106415,204.1106415,0,204.1106415,0,816.4425659
54,54,3,0.000243,166.667572,166.667572,0,166.667572,0,500.0027161
55,55,4,0.000324,100.350914,100.8021851,0.451271057,100.5765495,0.225635529,402.3061981
56,56,3,0.000243,105.3990784,105.3990784,0,105.3990784,0,316.1972351
57,57,4,0.000324,93.29293823,94.7250824,1.432144165,94.00901031,0.716072083,376.0360413
58,58,3,0.000243,171.7966614,171.7966614,0,171.7966614,0,515.3899841
59,59,4,0.000324,93.29293823,94.7250824,1.432144165,94.00901031,0.716072083,376.0360413
60,60,3,0.000243,65.37806702,65.37806702,0,65.37806702,0,196.134201
61,61,3,0.000243,88.8997345,88.9813385,0.081604004,88.92693583,0.038468496,266.7808075
62,62,4,0.000324,196.6078186,196.6078186,0,196.6078186,0,786.4312744
63,63,4,0.000324,123.3159637,123.9590225,0.643058777,123.6374931,0.321529388,494.5499725
64,64,4,0.000324,78.79222107,79.74643707,0.954216003,79.26932907,0.477108002,317.0773163
65,65,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
66,66,3,0.000243,107.9513702,107.9513702,0,107.9513702,0,323.8541107
67,67,3,0.000243,28.3052597,30.47300911,2.167749405,29.75042597,1.021886869,89.25127792
68,68,4,0.000324,78.79222107,79.74643707,0.954216003,79.26932907,0.477108002,317.0773163
69,69,4,0.000324,78.79222107,79.74643707,0.954216003,79.26932907,0.477108002,317.0773163
70,70,4,0.000324,2.118919849,2.229039669,0.11011982,2.173979759,0.05505991,8.695919037
71,71,4,0.000324,78.79222107,79.74643707,0.954216003,79.26932907,0.477108002,317.0773163
72,72,3,0.000243,174.2084656,180.4048157,6.196350098,177.9415741,2.684288878,533.8247223
73,73,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
74,74,3,0.000243,174.2084656,180.4048157,6.196350098,177.9415741,2.684288878,533.8247223
75,75,4,0.000324,171.7966614,180.4048157,8.608154297,176.4053459,3.53327697,705.6213837
76,76,4,0.000324,187.4621429,187.4621429,0,187.4621429,0,749.8485718
77,77,4,0.000324,118.8099976,119.1152649,0.305267334,118.9626312,0.152633667,475.8505249
78,78,3,0.000243,185.5035095,190.6207123,5.117202759,187.2092438,2.412272514,561.6277313
79,79,3,0.000243,185.5035095,190.6207123,5.117202759,187.6098226,2.18481657,562.8294678
80,80,3,0.000243,185.5035095,190.6207123,5.117202759,187.6098226,2.18481657,562.8294678
81,81,2,0.000162,2.956773043,2.956773043,0,2.956773043,0,5.913546085
82,82,3,0.000243,185.5035095,190.6207123,5.117202759,187.6098226,2.18481657,562.8294678
83,83,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
84,84,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
85,85,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
86,86,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
87,87,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
88,88,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
89,89,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
90,91,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
91,92,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
92,93,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
93,94,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
94,95,4,0.000324,92.73939514,95.20787811,2.468482971,93.97363663,1.234241486,375.8945465
95,97,4,0.000324,25.40103531,26.95648575,1.555450439,26.17876053,0.77772522,104.7150421
96,98,3,0.000243,169.9053955,169.9053955,0,169.9053955,0,509.7161865
97,99,4,0.000324,110.2830582,110.2830582,0,110.2830582,0,441.1322327
98,100,4,0.000324,194.8535614,194.8535614,0,194.8535614,0,779.4142456
99,101,3,0.000243,179.1060944,187.4621429,8.356048584,184.6767934,3.939079078,554.0303802
100,102,2,0.000162,81.78424835,82.02637482,0.242126465,81.90531158,0.121063232,163.8106232
101,103,3,0.000243,105.3990784,105.3990784,0,105.3990784,0,316.1972351
102,104,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
103,105,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
104,106,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
105,107,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
106,108,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
107,109,3,0.000243,112.0960312,116.2580109,4.161979675,113.4833577,1.961976034,340.4500732
108,110,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
109,111,4,0.000324,177.2567596,181.2585602,4.001800537,179.2576599,2.000900269,717.0306396
110,112,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
111,113,4,0.000324,83.08319092,83.08319092,0,83.08319092,0,332.3327637
112,114,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
113,115,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
114,116,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
115,117,4,0.000324,71.42879486,71.42879486,0,71.42879486,0,285.7151794
116,118,3,0.000243,70.44763947,70.44763947,0,70.44763947,0,211.3429184
117,120,4,0.000324,75.01167297,75.78504944,0.773376465,75.39836121,0.386688232,301.5934448
118,121,4,0.000324,73.74079132,73.74079132,0,73.74079132,0,294.9631653
119,122,3,0.000243,180.4048157,180.4048157,0,180.4048157,0,541.214447
120,123,4,0.000324,44.88877869,44.88877869,0,44.88877869,0,179.5551147
121,124,4,0.000324,106.9514923,106.9514923,0,106.9514923,0,427.8059692
122,125,4,0.000324,109.205307,111.7390976,2.533790588,110.4722023,1.266895294,441.8888092
123,126,2,0.000162,200.0773315,200.0773315,0,200.0773315,0,400.1546631
124,127,4,0.000324,113.4052353,113.8724213,0.467185974,113.6388283,0.233592987,454.5553131
125,128,3,0.000243,105.3990784,105.3990784,0,105.3990784,0,316.1972351
126,129,4,0.000324,165.5431366,165.5431366,0,165.5431366,0,662.1725464
127,130,4,0.000324,98.67021942,98.67021942,0,98.67021942,0,394.6808777
128,131,2,0.000162,81.78424835,82.02637482,0.242126465,81.90531158,0.121063232,163.8106232
129,132,2,0.000162,81.78424835,82.02637482,0.242126465,81.90531158,0.121063232,163.8106232
130,133,3,0.000243,107.9075317,107.9075317,0,107.9075317,0,323.7225952
131,134,4,0.000324,96.55433655,96.55433655,0,96.55433655,0,386.2173462
132,135,4,0.000324,100.7375793,104.9469223,4.209342957,102.8422508,2.104671478,411.3690033
