OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,26,1,0.001736111,212.7895813,212.7895813,0,212.7895813,0,212.7895813
2,33,1,0.001736111,131.4957275,131.4957275,0,131.4957275,0,131.4957275
3,54,1,0.001736111,216.35112,216.35112,0,216.35112,0,216.35112
4,65,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
5,66,1,0.001736111,179.9402313,179.9402313,0,179.9402313,0,179.9402313
6,76,1,0.001736111,218.7489014,218.7489014,0,218.7489014,0,218.7489014
7,98,1,0.001736111,214.843277,214.843277,0,214.843277,0,214.843277
8,100,1,0.001736111,197.6981354,197.6981354,0,197.6981354,0,197.6981354
9,112,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
10,113,1,0.001736111,134.0696564,134.0696564,0,134.0696564,0,134.0696564
11,114,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
12,115,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
13,116,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
14,117,1,0.001736111,150.8167877,150.8167877,0,150.8167877,0,150.8167877
15,124,1,0.001736111,102.4561768,102.4561768,0,102.4561768,0,102.4561768
16,129,1,0.001736111,122.3884888,122.3884888,0,122.3884888,0,122.3884888
17,130,1,0.001736111,99.87360382,99.87360382,0,99.87360382,0,99.87360382
18,139,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
19,140,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
20,141,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
21,178,1,0.001736111,178.1607361,178.1607361,0,178.1607361,0,178.1607361
22,190,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
23,191,1,0.001736111,101.2966156,101.2966156,0,101.2966156,0,101.2966156
24,206,1,0.001736111,100.2806473,100.2806473,0,100.2806473,0,100.2806473
25,212,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
26,213,1,0.001736111,113.6059265,113.6059265,0,113.6059265,0,113.6059265
27,216,1,0.001736111,136.803772,136.803772,0,136.803772,0,136.803772
28,219,1,0.001736111,103.5007553,103.5007553,0,103.5007553,0,103.5007553
29,227,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
30,229,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
31,230,1,0.001736111,116.5553131,116.5553131,0,116.5553131,0,116.5553131
32,241,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
33,243,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
34,244,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
35,248,1,0.001736111,192.4078064,192.4078064,0,192.4078064,0,192.4078064
36,256,1,0.001736111,205.1471863,205.1471863,0,205.1471863,0,205.1471863
37,259,1,0.001736111,158.6361084,158.6361084,0,158.6361084,0,158.6361084
38,260,1,0.001736111,197.619751,197.619751,0,197.619751,0,197.619751
39,270,1,0.001736111,200.7937317,200.7937317,0,200.7937317,0,200.7937317
40,272,1,0.001736111,215.3041534,215.3041534,0,215.3041534,0,215.3041534
41,275,1,0.001736111,108.704361,108.704361,0,108.704361,0,108.704361
42,278,1,0.001736111,176.324646,176.324646,0,176.324646,0,176.324646
43,298,1,0.001736111,131.1470337,131.1470337,0,131.1470337,0,131.1470337
44,304,1,0.001736111,123.1415558,123.1415558,0,123.1415558,0,123.1415558
45,312,1,0.001736111,145.6692657,145.6692657,0,145.6692657,0,145.6692657
46,313,1,0.001736111,162.8373718,162.8373718,0,162.8373718,0,162.8373718
47,321,1,0.001736111,214.843277,214.843277,0,214.843277,0,214.843277
48,326,1,0.001736111,214.843277,214.843277,0,214.843277,0,214.843277
49,331,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
50,332,1,0.001736111,164.2799377,164.2799377,0,164.2799377,0,164.2799377
51,334,1,0.001736111,206.5968781,206.5968781,0,206.5968781,0,206.5968781
52,346,1,0.001736111,204.7162933,204.7162933,0,204.7162933,0,204.7162933
53,349,1,0.001736111,199.0493011,199.0493011,0,199.0493011,0,199.0493011
54,360,1,0.001736111,216.7591858,216.7591858,0,216.7591858,0,216.7591858
55,363,1,0.001736111,193.4574585,193.4574585,0,193.4574585,0,193.4574585
56,365,1,0.001736111,213.7901917,213.7901917,0,213.7901917,0,213.7901917
57,370,1,0.001736111,214.9193726,214.9193726,0,214.9193726,0,214.9193726
58,378,1,0.001736111,213.7901917,213.7901917,0,213.7901917,0,213.7901917
59,390,1,0.001736111,214.843277,214.843277,0,214.843277,0,214.843277
60,402,1,0.001736111,171.1334381,171.1334381,0,171.1334381,0,171.1334381
61,406,1,0.001736111,194.7887421,194.7887421,0,194.7887421,0,194.7887421
62,415,1,0.001736111,193.7615356,193.7615356,0,193.7615356,0,193.7615356
63,417,1,0.001736111,194.7887421,194.7887421,0,194.7887421,0,194.7887421
64,419,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
65,422,1,0.001736111,200.7550201,200.7550201,0,200.7550201,0,200.7550201
66,429,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
67,430,1,0.001736111,137.7671814,137.7671814,0,137.7671814,0,137.7671814
68,452,1,0.001736111,162.0503387,162.0503387,0,162.0503387,0,162.0503387
69,509,1,0.001736111,216.7591858,216.7591858,0,216.7591858,0,216.7591858
70,514,1,0.001736111,85.7794342,85.7794342,0,85.7794342,0,85.7794342
71,528,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
72,541,1,0.001736111,130.6164398,130.6164398,0,130.6164398,0,130.6164398
73,555,1,0.001736111,101.2966156,101.2966156,0,101.2966156,0,101.2966156
74,563,1,0.001736111,176.6447144,176.6447144,0,176.6447144,0,176.6447144
75,567,1,0.001736111,217.3385162,217.3385162,0,217.3385162,0,217.3385162
76,572,1,0.001736111,214.9193726,214.9193726,0,214.9193726,0,214.9193726
77,577,1,0.001736111,183.668335,183.668335,0,183.668335,0,183.668335
78,580,1,0.001736111,198.1479187,198.1479187,0,198.1479187,0,198.1479187
79,603,1,0.001736111,120.1440277,120.1440277,0,120.1440277,0,120.1440277
80,620,1,0.001736111,103.9092789,103.9092789,0,103.9092789,0,103.9092789
81,630,1,0.001736111,92.46385193,92.46385193,0,92.46385193,0,92.46385193
82,652,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
83,673,1,0.001736111,216.8792725,216.8792725,0,216.8792725,0,216.8792725
84,676,1,0.001736111,101.7458267,101.7458267,0,101.7458267,0,101.7458267
85,680,1,0.001736111,193.8237152,193.8237152,0,193.8237152,0,193.8237152
86,692,1,0.001736111,109.4087753,109.4087753,0,109.4087753,0,109.4087753
87,693,1,0.001736111,99.20085144,99.20085144,0,99.20085144,0,99.20085144
88,714,1,0.001736111,197.8940582,197.8940582,0,197.8940582,0,197.8940582
89,718,1,0.001736111,178.140152,178.140152,0,178.140152,0,178.140152
90,719,1,0.001736111,191.7466888,191.7466888,0,191.7466888,0,191.7466888
91,726,1,0.001736111,164.3358002,164.3358002,0,164.3358002,0,164.3358002
92,729,1,0.001736111,216.1768036,216.1768036,0,216.1768036,0,216.1768036
93,733,1,0.001736111,216.8792725,216.8792725,0,216.8792725,0,216.8792725
94,739,1,0.001736111,190.3048859,190.3048859,0,190.3048859,0,190.3048859
95,754,1,0.001736111,172.5117035,172.5117035,0,172.5117035,0,172.5117035
96,759,1,0.001736111,122.6648178,122.6648178,0,122.6648178,0,122.6648178
97,774,1,0.001736111,103.4920883,103.4920883,0,103.4920883,0,103.4920883
98,790,1,0.001736111,172.5117035,172.5117035,0,172.5117035,0,172.5117035
99,800,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
100,801,1,0.001736111,207.57164,207.57164,0,207.57164,0,207.57164
101,803,1,0.001736111,160.0230103,160.0230103,0,160.0230103,0,160.0230103
102,818,1,0.001736111,131.4894867,131.4894867,0,131.4894867,0,131.4894867
103,822,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
104,829,1,0.001736111,215.9493866,215.9493866,0,215.9493866,0,215.9493866
105,864,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
106,873,1,0.001736111,108.704361,108.704361,0,108.704361,0,108.704361
107,883,1,0.001736111,204.7162933,204.7162933,0,204.7162933,0,204.7162933
108,885,1,0.001736111,106.1738434,106.1738434,0,106.1738434,0,106.1738434
109,887,1,0.001736111,108.404129,108.404129,0,108.404129,0,108.404129
110,893,1,0.001736111,124.9391937,124.9391937,0,124.9391937,0,124.9391937
111,894,1,0.001736111,136.5130157,136.5130157,0,136.5130157,0,136.5130157
112,897,1,0.001736111,195.0177155,195.0177155,0,195.0177155,0,195.0177155
113,906,1,0.001736111,203.6741638,203.6741638,0,203.6741638,0,203.6741638
114,923,1,0.001736111,103.3065872,103.3065872,0,103.3065872,0,103.3065872
115,926,1,0.001736111,179.9402313,179.9402313,0,179.9402313,0,179.9402313
116,932,1,0.001736111,155.9301453,155.9301453,0,155.9301453,0,155.9301453
117,960,1,0.001736111,177.2904816,177.2904816,0,177.2904816,0,177.2904816
118,981,1,0.001736111,203.0746155,203.0746155,0,203.0746155,0,203.0746155
119,986,1,0.001736111,212.4316406,212.4316406,0,212.4316406,0,212.4316406
120,987,1,0.001736111,132.813736,132.813736,0,132.813736,0,132.813736
121,993,1,0.001736111,116.0851669,116.0851669,0,116.0851669,0,116.0851669
122,997,1,0.001736111,127.0679398,127.0679398,0,127.0679398,0,127.0679398
123,1003,1,0.001736111,116.0851669,116.0851669,0,116.0851669,0,116.0851669
124,1012,1,0.001736111,120.4005356,120.4005356,0,120.4005356,0,120.4005356
125,1017,1,0.001736111,193.8237152,193.8237152,0,193.8237152,0,193.8237152
126,1018,1,0.001736111,214.4779053,214.4779053,0,214.4779053,0,214.4779053
127,1025,1,0.001736111,179.7328491,179.7328491,0,179.7328491,0,179.7328491
128,1028,1,0.001736111,208.6457062,208.6457062,0,208.6457062,0,208.6457062
129,1030,1,0.001736111,198.6494293,198.6494293,0,198.6494293,0,198.6494293
130,1032,1,0.001736111,204.3496704,204.3496704,0,204.3496704,0,204.3496704
131,1047,1,0.001736111,204.9325409,204.9325409,0,204.9325409,0,204.9325409
132,1049,1,0.001736111,212.4316406,212.4316406,0,212.4316406,0,212.4316406
133,1050,1,0.001736111,204.7162933,204.7162933,0,204.7162933,0,204.7162933
134,1054,1,0.001736111,204.9325409,204.9325409,0,204.9325409,0,204.9325409
135,1057,1,0.001736111,183.4223175,183.4223175,0,183.4223175,0,183.4223175
136,1071,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
137,1083,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
138,1084,1,0.001736111,216.358902,216.358902,0,216.358902,0,216.358902
139,1097,1,0.001736111,114.1128159,114.1128159,0,114.1128159,0,114.1128159
140,1100,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
141,1103,1,0.001736111,217.0752716,217.0752716,0,217.0752716,0,217.0752716
142,1104,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
143,1106,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
144,1107,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
145,1108,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
146,1110,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
147,1112,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
148,1113,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
149,1114,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
150,1115,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
151,1118,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
152,1119,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
153,1120,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
154,1121,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
155,1123,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
156,1124,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
157,1126,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
158,1129,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
159,1130,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
160,1133,1,0.001736111,140.3836975,140.3836975,0,140.3836975,0,140.3836975
161,1134,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
162,1139,1,0.001736111,214.9193726,214.9193726,0,214.9193726,0,214.9193726
163,1140,1,0.001736111,219.6005707,219.6005707,0,219.6005707,0,219.6005707
164,1142,1,0.001736111,214.9193726,214.9193726,0,214.9193726,0,214.9193726
165,1149,1,0.001736111,120.1440277,120.1440277,0,120.1440277,0,120.1440277
166,1161,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
167,1166,1,0.001736111,200.3406982,200.3406982,0,200.3406982,0,200.3406982
168,1170,1,0.001736111,214.4779053,214.4779053,0,214.4779053,0,214.4779053
169,1171,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
170,1173,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
171,1178,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
172,1181,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
173,1183,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
174,1184,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
175,1188,1,0.001736111,203.6741638,203.6741638,0,203.6741638,0,203.6741638
176,1189,1,0.001736111,217.563736,217.563736,0,217.563736,0,217.563736
177,1191,1,0.001736111,198.0272522,198.0272522,0,198.0272522,0,198.0272522
178,1193,1,0.001736111,200.3406982,200.3406982,0,200.3406982,0,200.3406982
179,1201,1,0.001736111,120.1440277,120.1440277,0,120.1440277,0,120.1440277
180,1202,1,0.001736111,112.9959183,112.9959183,0,112.9959183,0,112.9959183
181,1205,1,0.001736111,116.1006775,116.1006775,0,116.1006775,0,116.1006775
182,1211,1,0.001736111,205.7416382,205.7416382,0,205.7416382,0,205.7416382
183,1214,1,0.001736111,200.6319427,200.6319427,0,200.6319427,0,200.6319427
184,1218,1,0.001736111,103.0841446,103.0841446,0,103.0841446,0,103.0841446
185,1234,1,0.001736111,178.579071,178.579071,0,178.579071,0,178.579071
186,1294,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
187,1305,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
188,1307,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
189,1311,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
190,1315,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
191,1318,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
192,1319,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
193,1320,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
194,1323,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
195,1327,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
196,1331,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
197,1334,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
198,1335,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
199,1336,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
200,1337,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
201,1338,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
202,1339,1,0.001736111,133.0775299,133.0775299,0,133.0775299,0,133.0775299
203,1341,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
204,1344,1,0.001736111,157.4997101,157.4997101,0,157.4997101,0,157.4997101
205,1353,1,0.001736111,215.7196045,215.7196045,0,215.7196045,0,215.7196045
206,1358,1,0.001736111,124.9391937,124.9391937,0,124.9391937,0,124.9391937
207,1361,1,0.001736111,216.7254181,216.7254181,0,216.7254181,0,216.7254181
208,1364,1,0.001736111,160.1189575,160.1189575,0,160.1189575,0,160.1189575
209,1368,1,0.001736111,177.394043,177.394043,0,177.394043,0,177.394043
210,1372,1,0.001736111,171.3907318,171.3907318,0,171.3907318,0,171.3907318
211,1373,1,0.001736111,111.6312561,111.6312561,0,111.6312561,0,111.6312561
212,1377,1,0.001736111,127.7536469,127.7536469,0,127.7536469,0,127.7536469
213,1383,1,0.001736111,212.2085419,212.2085419,0,212.2085419,0,212.2085419
214,1386,1,0.001736111,100.2806473,100.2806473,0,100.2806473,0,100.2806473
215,1397,1,0.001736111,100.7947922,100.7947922,0,100.7947922,0,100.7947922
216,1411,1,0.001736111,194.7887421,194.7887421,0,194.7887421,0,194.7887421
217,1416,1,0.001736111,205.7416382,205.7416382,0,205.7416382,0,205.7416382
218,1426,1,0.001736111,125.2922211,125.2922211,0,125.2922211,0,125.2922211
219,1430,1,0.001736111,212.2085419,212.2085419,0,212.2085419,0,212.2085419
220,1433,1,0.001736111,203.6741638,203.6741638,0,203.6741638,0,203.6741638
221,1437,1,0.001736111,205.8340454,205.8340454,0,205.8340454,0,205.8340454
222,1443,1,0.001736111,212.2085419,212.2085419,0,212.2085419,0,212.2085419
223,1452,1,0.001736111,193.5471954,193.5471954,0,193.5471954,0,193.5471954
224,1456,1,0.001736111,212.2085419,212.2085419,0,212.2085419,0,212.2085419
225,1464,1,0.001736111,194.7887421,194.7887421,0,194.7887421,0,194.7887421
226,1465,1,0.001736111,194.7887421,194.7887421,0,194.7887421,0,194.7887421
227,1467,1,0.001736111,90.56149292,90.56149292,0,90.56149292,0,90.56149292
228,1468,1,0.001736111,203.6741638,203.6741638,0,203.6741638,0,203.6741638
229,1473,1,0.001736111,105.2339554,105.2339554,0,105.2339554,0,105.2339554
230,1483,1,0.001736111,124.9391937,124.9391937,0,124.9391937,0,124.9391937
231,1488,1,0.001736111,211.423584,211.423584,0,211.423584,0,211.423584
232,1501,1,0.001736111,199.3234253,199.3234253,0,199.3234253,0,199.3234253
233,1512,1,0.001736111,215.9371643,215.9371643,0,215.9371643,0,215.9371643
