OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,4,0.000324,23.12404442,23.12404442,0,23.12404442,0,92.49617767
2,2,4,0.000324,22.94603157,23.33363152,0.387599945,23.09477711,0.153528427,92.37910843
3,3,4,0.000324,23.12404442,23.12404442,0,23.12404442,0,92.49617767
4,4,4,0.000324,22.94603157,23.33363152,0.387599945,23.09477711,0.153528427,92.37910843
5,5,3,0.000243,23.77229691,23.99785805,0.225561142,23.84748395,0.106330542,71.54245186
6,6,4,0.000324,23.35925484,23.35925484,0,23.35925484,0,93.43701935
7,7,4,0.000324,23.35925484,23.35925484,0,23.35925484,0,93.43701935
8,8,4,0.000324,22.90991783,23.38931274,0.479394913,23.26946402,0.207584086,93.07785606
9,9,3,0.000243,23.60427094,23.60427094,0,23.60427094,0,70.81281281
10,10,1,0.000081,22.31645775,22.31645775,0,22.31645775,0,22.31645775
11,11,2,0.000162,23.57369232,23.59610367,0.022411346,23.58489799,0.011205673,47.16979599
12,12,4,0.000324,22.94603157,23.33363152,0.387599945,23.09477711,0.153528427,92.37910843
13,13,4,0.000324,23.69707489,23.74697876,0.04990387,23.72202682,0.024951935,94.8881073
14,14,4,0.000324,23.35925484,23.35925484,0,23.35925484,0,93.43701935
15,15,4,0.000324,24.13431931,24.34815025,0.213830948,24.23441601,0.084708265,96.93766403
16,16,4,0.000324,23.86117744,23.86117744,0,23.86117744,0,95.44470978
17,17,3,0.000243,22.94603157,22.94603157,0,22.94603157,0,68.83809471
18,18,4,0.000324,23.57369232,23.74697876,0.173286438,23.65346241,0.071240172,94.61384964
19,19,3,0.000243,23.57369232,23.59610367,0.022411346,23.58863322,0.01056481,70.76589966
20,20,4,0.000324,23.57224083,23.57224083,0,23.57224083,0,94.28896332
21,21,3,0.000243,23.86117744,23.89500618,0.033828735,23.88372993,0.015947019,71.6511898
22,22,4,0.000324,22.94603157,23.12404442,0.178012848,23.03503799,0.089006424,92.14015198
23,23,3,0.000243,22.97540092,22.97540092,0,22.97540092,0,68.92620277
24,24,4,0.000324,23.57369232,23.59610367,0.022411346,23.58489799,0.011205673,94.33959198
25,25,3,0.000243,24.02483559,24.02483559,0,24.02483559,0,72.07450676
26,26,4,0.000324,23.49984741,23.49984741,0,23.49984741,0,93.99938965
27,27,3,0.000243,23.90207672,23.90207672,0,23.90207672,0,71.70623016
28,28,3,0.000243,23.629673,23.64306641,0.013393402,23.63413747,0.00631371,70.90241241
29,29,4,0.000324,22.94603157,23.33363152,0.387599945,23.09477711,0.153528427,92.37910843
30,30,3,0.000243,22.94603157,22.94603157,0,22.94603157,0,68.83809471
31,31,3,0.000243,23.31248283,23.31248283,0,23.31248283,0,69.9374485
32,32,3,0.000243,23.60427094,23.60427094,0,23.60427094,0,70.81281281
33,33,3,0.000243,22.43741798,22.43741798,0,22.43741798,0,67.31225395
34,34,4,0.000324,15.7188015,15.7188015,0,15.7188015,0,62.87520599
35,35,4,0.000324,23.20251083,23.33872414,0.136213303,23.27061749,0.068106651,93.08246994
36,36,4,0.000324,18.47844505,18.6637001,0.185255051,18.54311323,0.072171552,74.17245293
