OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,26,1,0.001736111,32.47885132,32.47885132,0,32.47885132,0,32.47885132
2,33,1,0.001736111,34.20765686,34.20765686,0,34.20765686,0,34.20765686
3,54,1,0.001736111,32.97604752,32.97604752,0,32.97604752,0,32.97604752
4,65,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
5,66,1,0.001736111,33.30002594,33.30002594,0,33.30002594,0,33.30002594
6,76,1,0.001736111,32.94680786,32.94680786,0,32.94680786,0,32.94680786
7,98,1,0.001736111,32.9019928,32.9019928,0,32.9019928,0,32.9019928
8,100,1,0.001736111,33.21766281,33.21766281,0,33.21766281,0,33.21766281
9,112,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
10,113,1,0.001736111,33.89684677,33.89684677,0,33.89684677,0,33.89684677
11,114,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
12,115,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
13,116,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
14,117,1,0.001736111,33.69840622,33.69840622,0,33.69840622,0,33.69840622
15,124,1,0.001736111,33.45760727,33.45760727,0,33.45760727,0,33.45760727
16,129,1,0.001736111,33.20976257,33.20976257,0,33.20976257,0,33.20976257
17,130,1,0.001736111,33.55456543,33.55456543,0,33.55456543,0,33.55456543
18,139,1,0.001736111,33.58065033,33.58065033,0,33.58065033,0,33.58065033
19,140,1,0.001736111,33.58065033,33.58065033,0,33.58065033,0,33.58065033
20,141,1,0.001736111,33.58065033,33.58065033,0,33.58065033,0,33.58065033
21,178,1,0.001736111,33.22251892,33.22251892,0,33.22251892,0,33.22251892
22,190,1,0.001736111,32.8327446,32.8327446,0,32.8327446,0,32.8327446
23,191,1,0.001736111,33.56364822,33.56364822,0,33.56364822,0,33.56364822
24,206,1,0.001736111,33.44592667,33.44592667,0,33.44592667,0,33.44592667
25,212,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
26,213,1,0.001736111,33.72768402,33.72768402,0,33.72768402,0,33.72768402
27,216,1,0.001736111,32.06143188,32.06143188,0,32.06143188,0,32.06143188
28,219,1,0.001736111,33.33148956,33.33148956,0,33.33148956,0,33.33148956
29,227,1,0.001736111,31.89182472,31.89182472,0,31.89182472,0,31.89182472
30,229,1,0.001736111,33.58065033,33.58065033,0,33.58065033,0,33.58065033
31,230,1,0.001736111,33.91503525,33.91503525,0,33.91503525,0,33.91503525
32,241,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
33,243,1,0.001736111,32.8327446,32.8327446,0,32.8327446,0,32.8327446
34,244,1,0.001736111,32.8327446,32.8327446,0,32.8327446,0,32.8327446
35,248,1,0.001736111,32.83631516,32.83631516,0,32.83631516,0,32.83631516
36,256,1,0.001736111,32.929245,32.929245,0,32.929245,0,32.929245
37,259,1,0.001736111,33.0907402,33.0907402,0,33.0907402,0,33.0907402
38,260,1,0.001736111,33.16527176,33.16527176,0,33.16527176,0,33.16527176
39,270,1,0.001736111,33.14297104,33.14297104,0,33.14297104,0,33.14297104
40,272,1,0.001736111,33.08651733,33.08651733,0,33.08651733,0,33.08651733
41,275,1,0.001736111,33.58843994,33.58843994,0,33.58843994,0,33.58843994
42,278,1,0.001736111,33.11476517,33.11476517,0,33.11476517,0,33.11476517
43,298,1,0.001736111,32.57857513,32.57857513,0,32.57857513,0,32.57857513
44,304,1,0.001736111,33.25154114,33.25154114,0,33.25154114,0,33.25154114
45,312,1,0.001736111,33.83686066,33.83686066,0,33.83686066,0,33.83686066
46,313,1,0.001736111,32.69067764,32.69067764,0,32.69067764,0,32.69067764
47,321,1,0.001736111,32.9019928,32.9019928,0,32.9019928,0,32.9019928
48,326,1,0.001736111,32.9019928,32.9019928,0,32.9019928,0,32.9019928
49,331,1,0.001736111,32.8327446,32.8327446,0,32.8327446,0,32.8327446
50,332,1,0.001736111,33.58491898,33.58491898,0,33.58491898,0,33.58491898
51,334,1,0.001736111,32.474823,32.474823,0,32.474823,0,32.474823
52,346,1,0.001736111,32.82299042,32.82299042,0,32.82299042,0,32.82299042
53,349,1,0.001736111,32.64528275,32.64528275,0,32.64528275,0,32.64528275
54,360,1,0.001736111,32.84064865,32.84064865,0,32.84064865,0,32.84064865
55,363,1,0.001736111,32.77935791,32.77935791,0,32.77935791,0,32.77935791
56,365,1,0.001736111,32.73079681,32.73079681,0,32.73079681,0,32.73079681
57,370,1,0.001736111,32.83684158,32.83684158,0,32.83684158,0,32.83684158
58,378,1,0.001736111,32.73079681,32.73079681,0,32.73079681,0,32.73079681
59,390,1,0.001736111,32.9019928,32.9019928,0,32.9019928,0,32.9019928
60,402,1,0.001736111,32.84780121,32.84780121,0,32.84780121,0,32.84780121
61,406,1,0.001736111,32.3976059,32.3976059,0,32.3976059,0,32.3976059
62,415,1,0.001736111,33.01481247,33.01481247,0,33.01481247,0,33.01481247
63,417,1,0.001736111,32.3976059,32.3976059,0,32.3976059,0,32.3976059
64,419,1,0.001736111,33.58065033,33.58065033,0,33.58065033,0,33.58065033
65,422,1,0.001736111,32.97024536,32.97024536,0,32.97024536,0,32.97024536
66,429,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
67,430,1,0.001736111,31.99000168,31.99000168,0,31.99000168,0,31.99000168
68,452,1,0.001736111,33.54848099,33.54848099,0,33.54848099,0,33.54848099
69,509,1,0.001736111,32.84064865,32.84064865,0,32.84064865,0,32.84064865
70,514,1,0.001736111,33.05271149,33.05271149,0,33.05271149,0,33.05271149
71,528,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
72,541,1,0.001736111,33.12406921,33.12406921,0,33.12406921,0,33.12406921
73,555,1,0.001736111,33.56364822,33.56364822,0,33.56364822,0,33.56364822
74,563,1,0.001736111,33.20301819,33.20301819,0,33.20301819,0,33.20301819
75,567,1,0.001736111,33.02815628,33.02815628,0,33.02815628,0,33.02815628
76,572,1,0.001736111,32.83684158,32.83684158,0,32.83684158,0,32.83684158
77,577,1,0.001736111,33.30203247,33.30203247,0,33.30203247,0,33.30203247
78,580,1,0.001736111,32.71723938,32.71723938,0,32.71723938,0,32.71723938
79,603,1,0.001736111,33.61057281,33.61057281,0,33.61057281,0,33.61057281
80,620,1,0.001736111,32.44755173,32.44755173,0,32.44755173,0,32.44755173
81,630,1,0.001736111,32.89424515,32.89424515,0,32.89424515,0,32.89424515
82,652,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
83,673,1,0.001736111,32.63111496,32.63111496,0,32.63111496,0,32.63111496
84,676,1,0.001736111,33.2821579,33.2821579,0,33.2821579,0,33.2821579
85,680,1,0.001736111,33.10050583,33.10050583,0,33.10050583,0,33.10050583
86,692,1,0.001736111,33.44788361,33.44788361,0,33.44788361,0,33.44788361
87,693,1,0.001736111,33.16059875,33.16059875,0,33.16059875,0,33.16059875
88,714,1,0.001736111,33.16160202,33.16160202,0,33.16160202,0,33.16160202
89,718,1,0.001736111,32.8514061,32.8514061,0,32.8514061,0,32.8514061
90,719,1,0.001736111,32.9458847,32.9458847,0,32.9458847,0,32.9458847
91,726,1,0.001736111,32.86527634,32.86527634,0,32.86527634,0,32.86527634
92,729,1,0.001736111,32.2200737,32.2200737,0,32.2200737,0,32.2200737
93,733,1,0.001736111,32.63111496,32.63111496,0,32.63111496,0,32.63111496
94,739,1,0.001736111,33.17235184,33.17235184,0,33.17235184,0,33.17235184
95,754,1,0.001736111,33.60868454,33.60868454,0,33.60868454,0,33.60868454
96,759,1,0.001736111,32.67775345,32.67775345,0,32.67775345,0,32.67775345
97,774,1,0.001736111,33.9431839,33.9431839,0,33.9431839,0,33.9431839
98,790,1,0.001736111,33.60868454,33.60868454,0,33.60868454,0,33.60868454
99,800,1,0.001736111,32.94745255,32.94745255,0,32.94745255,0,32.94745255
100,801,1,0.001736111,32.59067535,32.59067535,0,32.59067535,0,32.59067535
101,803,1,0.001736111,33.40491486,33.40491486,0,33.40491486,0,33.40491486
102,818,1,0.001736111,34.08773804,34.08773804,0,34.08773804,0,34.08773804
103,822,1,0.001736111,32.8327446,32.8327446,0,32.8327446,0,32.8327446
104,829,1,0.001736111,32.85256195,32.85256195,0,32.85256195,0,32.85256195
105,864,1,0.001736111,31.89182472,31.89182472,0,31.89182472,0,31.89182472
106,873,1,0.001736111,33.58843994,33.58843994,0,33.58843994,0,33.58843994
107,883,1,0.001736111,32.82299042,32.82299042,0,32.82299042,0,32.82299042
108,885,1,0.001736111,33.99456024,33.99456024,0,33.99456024,0,33.99456024
109,887,1,0.001736111,33.93916702,33.93916702,0,33.93916702,0,33.93916702
110,893,1,0.001736111,33.45415115,33.45415115,0,33.45415115,0,33.45415115
111,894,1,0.001736111,33.19824219,33.19824219,0,33.19824219,0,33.19824219
112,897,1,0.001736111,32.74921799,32.74921799,0,32.74921799,0,32.74921799
113,906,1,0.001736111,32.49927902,32.49927902,0,32.49927902,0,32.49927902
114,923,1,0.001736111,33.74573135,33.74573135,0,33.74573135,0,33.74573135
115,926,1,0.001736111,33.30002594,33.30002594,0,33.30002594,0,33.30002594
116,932,1,0.001736111,33.18873978,33.18873978,0,33.18873978,0,33.18873978
117,960,1,0.001736111,33.31218338,33.31218338,0,33.31218338,0,33.31218338
118,981,1,0.001736111,32.43065643,32.43065643,0,32.43065643,0,32.43065643
119,986,1,0.001736111,32.84093857,32.84093857,0,32.84093857,0,32.84093857
120,987,1,0.001736111,33.24265671,33.24265671,0,33.24265671,0,33.24265671
121,993,1,0.001736111,33.38389206,33.38389206,0,33.38389206,0,33.38389206
122,997,1,0.001736111,33.80815506,33.80815506,0,33.80815506,0,33.80815506
123,1003,1,0.001736111,33.38389206,33.38389206,0,33.38389206,0,33.38389206
124,1012,1,0.001736111,33.82387924,33.82387924,0,33.82387924,0,33.82387924
125,1017,1,0.001736111,33.10050583,33.10050583,0,33.10050583,0,33.10050583
126,1018,1,0.001736111,32.8404541,32.8404541,0,32.8404541,0,32.8404541
127,1025,1,0.001736111,33.17130661,33.17130661,0,33.17130661,0,33.17130661
128,1028,1,0.001736111,32.44125748,32.44125748,0,32.44125748,0,32.44125748
129,1030,1,0.001736111,32.74849319,32.74849319,0,32.74849319,0,32.74849319
130,1032,1,0.001736111,32.86806488,32.86806488,0,32.86806488,0,32.86806488
131,1047,1,0.001736111,32.87811279,32.87811279,0,32.87811279,0,32.87811279
132,1049,1,0.001736111,32.84093857,32.84093857,0,32.84093857,0,32.84093857
133,1050,1,0.001736111,32.82299042,32.82299042,0,32.82299042,0,32.82299042
134,1054,1,0.001736111,32.87811279,32.87811279,0,32.87811279,0,32.87811279
135,1057,1,0.001736111,33.12510681,33.12510681,0,33.12510681,0,33.12510681
136,1071,1,0.001736111,32.76662827,32.76662827,0,32.76662827,0,32.76662827
137,1083,1,0.001736111,32.76662827,32.76662827,0,32.76662827,0,32.76662827
