OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,4,0.000324,14.42556286,14.42556286,0,14.42556286,0,57.70225143
2,2,4,0.000324,14.42556286,14.62835407,0.202791214,14.52372003,0.081168727,58.0948801
3,3,4,0.000324,14.42556286,14.42556286,0,14.42556286,0,57.70225143
4,4,4,0.000324,14.42556286,14.62835407,0.202791214,14.52372003,0.081168727,58.0948801
5,5,3,0.000243,14.63422871,14.63607693,0.001848221,14.63546085,0.00087126,43.90638256
6,6,4,0.000324,11.99662018,11.99662018,0,11.99662018,0,47.98648071
7,7,4,0.000324,11.99662018,11.99662018,0,11.99662018,0,47.98648071
8,8,4,0.000324,15.23831272,15.72204971,0.483736992,15.35924697,0.209464262,61.43698788
9,9,3,0.000243,15.08260441,15.08260441,0,15.08260441,0,45.24781322
10,10,1,0.000081,16.94838524,16.94838524,0,16.94838524,0,16.94838524
11,11,2,0.000162,13.61960316,13.73439503,0.11479187,13.67699909,0.057395935,27.35399818
12,12,4,0.000324,14.42556286,14.62835407,0.202791214,14.52372003,0.081168727,58.0948801
13,13,4,0.000324,13.57614517,13.69740868,0.121263504,13.63677692,0.060631752,54.5471077
14,14,4,0.000324,11.99662018,11.99662018,0,11.99662018,0,47.98648071
15,15,4,0.000324,13.94650745,14.33856297,0.392055511,14.09891701,0.147805483,56.39566803
16,16,4,0.000324,14.89177036,14.89177036,0,14.89177036,0,59.56708145
17,17,3,0.000243,14.46686554,14.46686554,0,14.46686554,0,43.40059662
18,18,4,0.000324,13.57614517,13.73439503,0.158249855,13.65688801,0.062367516,54.62755203
19,19,3,0.000243,13.61960316,13.73439503,0.11479187,13.65786711,0.054113407,40.97360134
20,20,4,0.000324,12.20166969,12.20166969,0,12.20166969,0,48.80667877
21,21,3,0.000243,14.65872955,14.89177036,0.23304081,14.73640982,0.109856491,44.20922947
22,22,4,0.000324,14.42556286,14.46686554,0.041302681,14.4462142,0.02065134,57.7848568
23,23,3,0.000243,14.57409763,14.57409763,0,14.57409763,0,43.7222929
24,24,4,0.000324,13.61960316,13.73439503,0.11479187,13.67699909,0.057395935,54.70799637
25,25,3,0.000243,14.54168797,14.54168797,0,14.54168797,0,43.6250639
26,26,4,0.000324,15.52114582,15.52114582,0,15.52114582,0,62.08458328
27,27,3,0.000243,13.6118536,13.6118536,0,13.6118536,0,40.8355608
28,28,3,0.000243,13.78815937,13.80789661,0.019737244,13.80131753,0.009304226,41.4039526
29,29,4,0.000324,14.42556286,14.62835407,0.202791214,14.52372003,0.081168727,58.0948801
30,30,3,0.000243,14.46686554,14.46686554,0,14.46686554,0,43.40059662
