OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,26,1,0.001736111,19.74295616,19.74295616,0,19.74295616,0,19.74295616
2,33,1,0.001736111,14.93048668,14.93048668,0,14.93048668,0,14.93048668
3,54,1,0.001736111,18.43529701,18.43529701,0,18.43529701,0,18.43529701
4,65,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
5,66,1,0.001736111,17.16191292,17.16191292,0,17.16191292,0,17.16191292
6,76,1,0.001736111,18.47446823,18.47446823,0,18.47446823,0,18.47446823
7,98,1,0.001736111,18.12617493,18.12617493,0,18.12617493,0,18.12617493
8,100,1,0.001736111,18.92379379,18.92379379,0,18.92379379,0,18.92379379
9,112,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
10,113,1,0.001736111,15.14162445,15.14162445,0,15.14162445,0,15.14162445
11,114,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
12,115,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
13,116,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
14,117,1,0.001736111,15.91289902,15.91289902,0,15.91289902,0,15.91289902
15,124,1,0.001736111,12.82309055,12.82309055,0,12.82309055,0,12.82309055
16,129,1,0.001736111,14.07838726,14.07838726,0,14.07838726,0,14.07838726
17,130,1,0.001736111,12.57435417,12.57435417,0,12.57435417,0,12.57435417
18,139,1,0.001736111,12.71738148,12.71738148,0,12.71738148,0,12.71738148
19,140,1,0.001736111,12.71738148,12.71738148,0,12.71738148,0,12.71738148
20,141,1,0.001736111,12.71738148,12.71738148,0,12.71738148,0,12.71738148
21,178,1,0.001736111,17.39512825,17.39512825,0,17.39512825,0,17.39512825
22,190,1,0.001736111,18.39992142,18.39992142,0,18.39992142,0,18.39992142
23,191,1,0.001736111,12.82399368,12.82399368,0,12.82399368,0,12.82399368
24,206,1,0.001736111,12.40575218,12.40575218,0,12.40575218,0,12.40575218
25,212,1,0.001736111,18.62878799,18.62878799,0,18.62878799,0,18.62878799
26,213,1,0.001736111,12.37764359,12.37764359,0,12.37764359,0,12.37764359
27,216,1,0.001736111,21.80999947,21.80999947,0,21.80999947,0,21.80999947
28,219,1,0.001736111,12.97360992,12.97360992,0,12.97360992,0,12.97360992
29,227,1,0.001736111,21.80740166,21.80740166,0,21.80740166,0,21.80740166
30,229,1,0.001736111,12.71738148,12.71738148,0,12.71738148,0,12.71738148
31,230,1,0.001736111,15.237257,15.237257,0,15.237257,0,15.237257
32,241,1,0.001736111,18.62878799,18.62878799,0,18.62878799,0,18.62878799
33,243,1,0.001736111,18.39992142,18.39992142,0,18.39992142,0,18.39992142
34,244,1,0.001736111,18.39992142,18.39992142,0,18.39992142,0,18.39992142
35,248,1,0.001736111,18.26266479,18.26266479,0,18.26266479,0,18.26266479
36,256,1,0.001736111,19.41444206,19.41444206,0,19.41444206,0,19.41444206
37,259,1,0.001736111,16.99039268,16.99039268,0,16.99039268,0,16.99039268
38,260,1,0.001736111,18.95235062,18.95235062,0,18.95235062,0,18.95235062
39,270,1,0.001736111,18.97571945,18.97571945,0,18.97571945,0,18.97571945
40,272,1,0.001736111,18.55434608,18.55434608,0,18.55434608,0,18.55434608
41,275,1,0.001736111,14.78541946,14.78541946,0,14.78541946,0,14.78541946
42,278,1,0.001736111,17.51699638,17.51699638,0,17.51699638,0,17.51699638
43,298,1,0.001736111,15.2272768,15.2272768,0,15.2272768,0,15.2272768
44,304,1,0.001736111,13.81659317,13.81659317,0,13.81659317,0,13.81659317
45,312,1,0.001736111,15.37976646,15.37976646,0,15.37976646,0,15.37976646
46,313,1,0.001736111,17.68598175,17.68598175,0,17.68598175,0,17.68598175
47,321,1,0.001736111,18.12617493,18.12617493,0,18.12617493,0,18.12617493
48,326,1,0.001736111,18.12617493,18.12617493,0,18.12617493,0,18.12617493
49,331,1,0.001736111,18.39992142,18.39992142,0,18.39992142,0,18.39992142
50,332,1,0.001736111,16.42887497,16.42887497,0,16.42887497,0,16.42887497
51,334,1,0.001736111,18.81547546,18.81547546,0,18.81547546,0,18.81547546
52,346,1,0.001736111,19.30057335,19.30057335,0,19.30057335,0,19.30057335
53,349,1,0.001736111,18.60965538,18.60965538,0,18.60965538,0,18.60965538
54,360,1,0.001736111,18.22580147,18.22580147,0,18.22580147,0,18.22580147
55,363,1,0.001736111,18.56482887,18.56482887,0,18.56482887,0,18.56482887
